country,Happiness_score,household
Spain,6.402999878,0.369548887
Ecuador,6.007999897,0.369594216
Brazil,6.635000229,0.370239496
Serbia,5.394999981,0.371728897
Norway,7.537000179,0.37180686
Bolivia,5.822999954,0.371847123
Romania,5.824999809,0.372027576
Moldova,5.837999821,0.37286514
El Salvador,6.002999783,0.372968554
Egypt,4.735000134,0.373125821
Japan,5.920000076,0.373215824
Serbia,5.394999981,0.373830408
Bolivia,5.822999954,0.373834133
Kosovo,5.278999805,0.374054551
Serbia,5.394999981,0.374075353
Kyrgyzstan,5.004000187,0.374307275
Kyrgyzstan,5.004000187,0.375289708
Moldova,5.837999821,0.375585765
Bosnia and Herzegovina,5.18200016,0.375923783
Mauritania,4.291999817,0.376003712
