country,Happiness_score,household
Netherlands,7.376999855,
Nicaragua,6.071000099,
Niger,4.027999878,
Nigeria,5.073999882,
Norway,7.537000179,
Pakistan,5.269000053,
Palestinian Territories,4.775000095,
Panama,6.452000141,
Paraguay,5.493000031,
Peru,5.715000153,
Philippines,5.429999828,
Portugal,5.195000172,
Russia,5.962999821,
Senegal,4.534999847,
Sierra Leone,4.709000111,
South Africa,4.828999996,
Spain,6.402999878,
Sri Lanka,4.440000057,
Sweden,7.28399992,
Tanzania,3.348999977,
Thailand,6.423999786,
Togo,3.494999886,
Turkey,5.5,
Uganda,4.080999851,
Ukraine,4.096000195,
United Kingdom,6.714000225,
United States,6.993000031,
Uruguay,6.453999996,
Venezuela,5.25,
Vietnam,5.073999882,
Zambia,4.513999939,
Hungary,5.323999882,
Poland,5.97300005,
Sweden,7.28399992,
Liberia,3.532999992,
Mongolia,4.954999924,
Sierra Leone,4.709000111,
Mozambique,4.550000191,
Sierra Leone,4.709000111,
Sierra Leone,4.709000111,
Liberia,3.532999992,
Sierra Leone,4.709000111,
Liberia,3.532999992,
Sierra Leone,4.709000111,
